agent,episode,seed,score,max_tile,steps,won,first_512,first_1024,first_2048,actions
random,0,191664963,268,32,50,False,,,,"0,3,2,1,1,3,1,2,1,3,2,0,1,3,1,1,3,1,0,3,0,1,3,0,1,0,0,3,1,2,3,3,3,2,1,3,3,2,0,3,0,3,2,1,1,3,0,3,2,0"
random,1,1662057957,1424,128,146,False,,,,"3,0,2,2,3,3,3,0,2,2,3,0,2,3,1,0,0,1,0,0,2,1,2,3,2,3,0,1,3,1,0,0,3,1,3,0,3,1,3,1,0,2,1,2,3,2,2,0,2,0,3,3,3,2,1,2,2,1,3,0,3,2,2,3,3,1,3,0,2,3,0,0,2,0,0,1,2,2,0,2,3,1,0,1,2,0,2,3,2,0,2,1,0,3,0,1,3,3,3,0,3,1,1,2,1,1,2,0,1,0,3,2,3,0,2,3,1,1,3,2,0,3,1,3,0,2,0,0,2,0,1,3,0,3,0,3,0,2,2,1,0,2,3,1,2,3"
random,2,1405681631,1220,128,131,False,,,,"0,1,0,1,0,2,1,0,2,2,2,3,2,3,1,2,0,2,3,1,3,1,3,2,1,0,0,1,1,2,2,2,1,0,1,3,2,1,1,0,2,0,0,3,0,1,2,1,2,1,2,0,1,0,3,1,2,3,1,2,3,0,2,2,1,0,3,2,1,2,0,0,1,3,2,2,0,3,0,0,1,0,1,0,1,3,0,3,1,1,3,0,2,0,2,0,1,1,2,0,2,1,3,1,2,2,3,2,1,0,2,0,0,2,1,3,2,0,2,0,1,1,0,3,2,1,2,0,0,0,0"
random,3,942484272,1316,128,136,False,,,,"2,1,0,0,2,2,0,2,3,0,3,2,3,0,3,1,1,1,0,0,3,3,0,0,0,2,1,3,1,2,0,1,2,1,0,3,2,1,2,3,1,0,3,2,3,1,0,1,3,2,3,2,1,2,3,0,2,2,1,0,3,1,0,3,1,2,2,0,1,1,2,3,0,2,2,0,3,1,0,3,0,2,3,0,1,3,0,0,1,0,3,0,1,1,0,3,2,0,1,2,0,1,3,3,1,3,0,3,1,0,2,0,3,3,2,1,0,0,0,3,0,3,2,0,0,1,3,0,2,3,1,2,3,1,0,2"
random,4,929893137,1328,128,139,False,,,,"1,2,2,0,1,0,2,1,0,1,2,1,3,2,0,3,2,2,0,0,1,2,3,3,3,0,3,0,2,1,1,1,3,0,1,0,3,2,0,1,2,3,1,0,0,3,1,0,0,0,2,2,1,0,1,1,1,3,2,1,2,2,1,0,1,2,3,1,3,2,2,1,3,2,1,2,3,3,1,0,0,2,3,1,1,0,0,1,3,0,2,2,3,2,0,3,2,0,3,2,1,2,1,0,2,0,3,3,0,1,1,3,2,0,3,0,2,0,3,1,1,3,2,2,0,1,3,0,1,1,2,0,3,1,0,2,1,0,1"
random,5,1843824992,664,64,86,False,,,,"2,3,1,0,2,1,2,3,1,3,2,2,3,1,3,3,0,3,1,0,2,1,0,2,2,2,1,0,1,3,0,0,3,0,3,3,0,2,2,3,3,2,2,0,1,2,3,3,3,1,2,2,3,2,2,1,0,1,3,1,3,2,0,0,1,1,3,1,0,1,0,1,2,0,2,3,3,3,0,0,1,2,3,0,1,1"
random,6,184566854,1428,128,146,False,,,,"3,2,0,3,0,1,0,3,3,2,2,3,0,1,2,0,0,1,1,2,0,1,3,2,0,1,0,0,3,1,3,0,3,1,3,0,1,2,0,2,1,1,0,3,2,3,3,1,1,3,1,0,3,2,3,1,3,2,1,3,0,1,3,1,1,0,2,1,0,1,0,3,2,0,1,3,0,2,1,3,0,1,2,3,3,0,1,0,2,2,1,0,1,2,1,0,2,2,2,2,1,3,1,1,0,3,0,0,0,1,3,2,2,1,0,0,3,3,2,3,2,2,1,3,3,1,1,3,0,3,3,0,2,3,0,2,1,0,2,3,3,3,0,3,3,0"
random,7,1497586438,1264,128,128,False,,,,"1,0,3,3,0,2,1,1,0,0,2,2,3,3,1,2,2,3,2,2,2,0,2,0,3,3,1,0,2,1,1,0,2,0,3,1,3,0,0,3,3,3,2,3,0,2,2,1,2,3,2,1,2,1,2,0,0,2,1,0,2,0,1,2,0,3,2,1,3,3,0,1,3,2,3,0,2,0,3,0,3,3,3,3,1,3,3,2,1,2,0,1,3,2,3,1,3,2,1,0,1,3,0,2,0,0,2,0,2,0,1,2,0,2,3,0,3,2,1,2,2,1,0,2,0,2,3,2"
random,8,432652533,888,128,94,False,,,,"0,2,1,3,0,0,1,2,3,3,2,1,3,1,1,3,1,2,1,3,1,0,1,2,3,2,3,2,2,1,0,3,1,3,0,2,0,2,3,1,2,3,0,2,3,2,0,0,1,2,3,1,3,0,0,1,0,3,1,1,0,1,1,3,2,3,1,0,0,3,0,3,1,0,1,1,3,1,2,2,3,1,0,3,3,2,1,1,2,0,1,2,0,3"
random,9,202244314,1056,128,118,False,,,,"3,1,1,1,3,1,1,3,1,2,3,2,1,0,0,0,2,2,0,2,1,3,0,1,0,1,0,3,2,0,2,3,2,1,0,1,3,0,1,2,1,0,1,1,0,1,1,2,1,0,2,3,0,1,0,3,1,1,1,2,2,3,1,3,1,3,1,2,3,0,2,0,1,1,0,1,3,0,2,0,2,3,2,0,2,2,1,1,2,2,3,0,1,3,2,1,0,2,0,2,1,2,1,0,0,0,0,1,0,0,1,0,3,1,2,3,0,2"
